split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
calibration,0.9999920581810099,300,300,0,225,75,0.75,0.9555555555555556,0.044444444444444446,10,0.03333333333333333,0.044444444444444446
calibration,0.9999897933314713,300,300,0,226,74,0.7533333333333333,0.9557522123893806,0.04424778761061947,10,0.03333333333333333,0.04424778761061947
calibration,0.9999882437013936,300,300,0,227,73,0.7566666666666667,0.9559471365638766,0.04405286343612335,10,0.03333333333333333,0.04405286343612335
calibration,0.9999875284879717,300,300,0,228,72,0.76,0.9517543859649122,0.04824561403508772,11,0.03666666666666667,0.04824561403508772
calibration,0.9999839524294449,300,300,0,229,71,0.7633333333333333,0.9519650655021834,0.048034934497816595,11,0.03666666666666667,0.048034934497816595
calibration,0.9999832372181827,300,300,0,230,70,0.7666666666666667,0.9521739130434783,0.04782608695652174,11,0.03666666666666667,0.04782608695652174
calibration,0.9999815683975317,300,300,0,231,69,0.77,0.948051948051948,0.05194805194805195,12,0.04,0.05194805194805195
calibration,0.9999766811478773,300,300,0,232,68,0.7733333333333333,0.9482758620689655,0.05172413793103448,12,0.04,0.05172413793103448
calibration,0.9999746547356694,300,300,0,233,67,0.7766666666666666,0.944206008583691,0.055793991416309016,13,0.043333333333333335,0.055793991416309016
calibration,0.9999645227325883,300,300,0,234,66,0.78,0.9444444444444444,0.05555555555555555,13,0.043333333333333335,0.05555555555555555
calibration,0.9999415175046573,300,300,0,235,65,0.7833333333333333,0.9446808510638298,0.05531914893617021,13,0.043333333333333335,0.05531914893617021
calibration,0.9999368688433311,300,300,0,236,64,0.7866666666666666,0.9449152542372882,0.05508474576271186,13,0.043333333333333335,0.05508474576271186
calibration,0.99991434102598,300,300,0,237,63,0.79,0.9409282700421941,0.05907172995780591,14,0.04666666666666667,0.05907172995780591
calibration,0.9998522505068683,300,300,0,238,62,0.7933333333333333,0.9411764705882353,0.058823529411764705,14,0.04666666666666667,0.058823529411764705
calibration,0.9998372368478391,300,300,0,239,61,0.7966666666666666,0.9372384937238494,0.06276150627615062,15,0.05,0.06276150627615062
calibration,0.9997962419688495,300,300,0,241,59,0.8033333333333333,0.9336099585062241,0.06639004149377593,16,0.05333333333333334,0.06639004149377593
calibration,0.9997614458648256,300,300,0,242,58,0.8066666666666666,0.9297520661157025,0.07024793388429752,17,0.056666666666666664,0.07024793388429752
calibration,0.99966459043674,300,300,0,243,57,0.81,0.9259259259259259,0.07407407407407407,18,0.06,0.07407407407407407
calibration,0.9996028948765476,300,300,0,244,56,0.8133333333333334,0.9221311475409836,0.0778688524590164,19,0.06333333333333334,0.0778688524590164
calibration,0.9995662063822909,300,300,0,245,55,0.8166666666666667,0.9183673469387755,0.08163265306122448,20,0.06666666666666667,0.08163265306122448
calibration,0.9995419106919142,300,300,0,246,54,0.82,0.9146341463414634,0.08536585365853659,21,0.07,0.08536585365853659
calibration,0.9994730815392611,300,300,0,247,53,0.8233333333333334,0.9109311740890689,0.08906882591093117,22,0.07333333333333333,0.08906882591093117
calibration,0.9994329501699825,300,300,0,248,52,0.8266666666666667,0.907258064516129,0.09274193548387097,23,0.07666666666666666,0.09274193548387097
calibration,0.9992903233093213,300,300,0,249,51,0.83,0.9036144578313253,0.0963855421686747,24,0.08,0.0963855421686747
calibration,0.9990885944370145,300,300,0,250,50,0.8333333333333334,0.9,0.1,25,0.08333333333333333,0.1
calibration,0.9990838415883432,300,300,0,251,49,0.8366666666666667,0.900398406374502,0.099601593625498,25,0.08333333333333333,0.099601593625498
calibration,0.999030052662209,300,300,0,252,48,0.84,0.8968253968253969,0.10317460317460317,26,0.08666666666666667,0.10317460317460317
calibration,0.9988258228493234,300,300,0,253,47,0.8433333333333334,0.8972332015810277,0.10276679841897234,26,0.08666666666666667,0.10276679841897234
calibration,0.9987481724408294,300,300,0,254,46,0.8466666666666667,0.8976377952755905,0.10236220472440945,26,0.08666666666666667,0.10236220472440945
calibration,0.9983243258040301,300,300,0,255,45,0.85,0.8941176470588236,0.10588235294117647,27,0.09,0.10588235294117647
calibration,0.9981308204146286,300,300,0,256,44,0.8533333333333334,0.890625,0.109375,28,0.09333333333333334,0.109375
calibration,0.998073226003552,300,300,0,257,43,0.8566666666666667,0.8910505836575876,0.10894941634241245,28,0.09333333333333334,0.10894941634241245
calibration,0.9980719173449989,300,300,0,258,42,0.86,0.8914728682170543,0.10852713178294573,28,0.09333333333333334,0.10852713178294573
calibration,0.9980514832994044,300,300,0,259,41,0.8633333333333333,0.888030888030888,0.11196911196911197,29,0.09666666666666666,0.11196911196911197
calibration,0.9975274032511579,300,300,0,260,40,0.8666666666666667,0.8884615384615384,0.11153846153846154,29,0.09666666666666666,0.11153846153846154
calibration,0.9974645370695361,300,300,0,261,39,0.87,0.8888888888888888,0.1111111111111111,29,0.09666666666666666,0.1111111111111111
calibration,0.9967024939188588,300,300,0,262,38,0.8733333333333333,0.8854961832061069,0.11450381679389313,30,0.1,0.11450381679389313
calibration,0.9946000473272943,300,300,0,263,37,0.8766666666666667,0.8821292775665399,0.11787072243346007,31,0.10333333333333333,0.11787072243346007
calibration,0.9941546036485985,300,300,0,264,36,0.88,0.8787878787878788,0.12121212121212122,32,0.10666666666666667,0.12121212121212122
calibration,0.9932828991117899,300,300,0,265,35,0.8833333333333333,0.879245283018868,0.12075471698113208,32,0.10666666666666667,0.12075471698113208
calibration,0.9932478489496588,300,300,0,266,34,0.8866666666666667,0.8796992481203008,0.12030075187969924,32,0.10666666666666667,0.12030075187969924
calibration,0.9913352555062638,300,300,0,267,33,0.89,0.8764044943820225,0.12359550561797752,33,0.11,0.12359550561797752
calibration,0.9839092766053795,300,300,0,268,32,0.8933333333333333,0.8731343283582089,0.12686567164179105,34,0.11333333333333333,0.12686567164179105
calibration,0.9780861693051359,300,300,0,269,31,0.8966666666666666,0.8698884758364313,0.13011152416356878,35,0.11666666666666667,0.13011152416356878
calibration,0.9769947352582931,300,300,0,270,30,0.9,0.8666666666666667,0.13333333333333333,36,0.12,0.13333333333333333
calibration,0.9753297588367545,300,300,0,271,29,0.9033333333333333,0.8634686346863468,0.13653136531365315,37,0.12333333333333334,0.13653136531365315
calibration,0.9738611589665995,300,300,0,272,28,0.9066666666666666,0.8639705882352942,0.13602941176470587,37,0.12333333333333334,0.13602941176470587
calibration,0.9706873663985345,300,300,0,273,27,0.91,0.8644688644688645,0.13553113553113552,37,0.12333333333333334,0.13553113553113552
calibration,0.9695040025198425,300,300,0,274,26,0.9133333333333333,0.8613138686131386,0.1386861313868613,38,0.12666666666666668,0.1386861313868613
calibration,0.962671114965801,300,300,0,275,25,0.9166666666666666,0.8581818181818182,0.14181818181818182,39,0.13,0.14181818181818182
calibration,0.9626664815686116,300,300,0,276,24,0.92,0.855072463768116,0.14492753623188406,40,0.13333333333333333,0.14492753623188406
calibration,0.9274743051808741,300,300,0,277,23,0.9233333333333333,0.851985559566787,0.148014440433213,41,0.13666666666666666,0.148014440433213
calibration,0.9110010187754964,300,300,0,278,22,0.9266666666666666,0.8489208633093526,0.1510791366906475,42,0.14,0.1510791366906475
calibration,0.902961353273129,300,300,0,279,21,0.93,0.8458781362007168,0.15412186379928317,43,0.14333333333333334,0.15412186379928317
calibration,0.8815976093098447,300,300,0,280,20,0.9333333333333333,0.8428571428571429,0.15714285714285714,44,0.14666666666666667,0.15714285714285714
calibration,0.8807737767452039,300,300,0,281,19,0.9366666666666666,0.8398576512455516,0.1601423487544484,45,0.15,0.1601423487544484
calibration,0.8777180766428979,300,300,0,282,18,0.94,0.8368794326241135,0.16312056737588654,46,0.15333333333333332,0.16312056737588654
calibration,0.8568003437443986,300,300,0,283,17,0.9433333333333334,0.833922261484099,0.16607773851590105,47,0.15666666666666668,0.16607773851590105
calibration,0.8505342891926403,300,300,0,284,16,0.9466666666666667,0.8309859154929577,0.16901408450704225,48,0.16,0.16901408450704225
calibration,0.817574028840271,300,300,0,285,15,0.95,0.8280701754385965,0.17192982456140352,49,0.16333333333333333,0.17192982456140352
calibration,0.8058931368339015,300,300,0,286,14,0.9533333333333334,0.8251748251748252,0.17482517482517482,50,0.16666666666666666,0.17482517482517482
calibration,0.8025159288934114,300,300,0,287,13,0.9566666666666667,0.8222996515679443,0.17770034843205576,51,0.17,0.17770034843205576
calibration,0.7771313568862985,300,300,0,288,12,0.96,0.8229166666666666,0.17708333333333334,51,0.17,0.17708333333333334
calibration,0.754820390672397,300,300,0,289,11,0.9633333333333334,0.8200692041522492,0.17993079584775087,52,0.17333333333333334,0.17993079584775087
calibration,0.7421981847729029,300,300,0,290,10,0.9666666666666667,0.8172413793103448,0.18275862068965518,53,0.17666666666666667,0.18275862068965518
calibration,0.7309920650282163,300,300,0,291,9,0.97,0.8144329896907216,0.18556701030927836,54,0.18,0.18556701030927836
calibration,0.7256197899334799,300,300,0,292,8,0.9733333333333334,0.8116438356164384,0.18835616438356165,55,0.18333333333333332,0.18835616438356165
calibration,0.7211044653289611,300,300,0,293,7,0.9766666666666667,0.8122866894197952,0.18771331058020477,55,0.18333333333333332,0.18771331058020477
calibration,0.5983654331879842,300,300,0,294,6,0.98,0.8095238095238095,0.19047619047619047,56,0.18666666666666668,0.19047619047619047
calibration,0.5680581818748421,300,300,0,295,5,0.9833333333333333,0.8067796610169492,0.19322033898305085,57,0.19,0.19322033898305085
calibration,0.5621722470267585,300,300,0,296,4,0.9866666666666667,0.8040540540540541,0.19594594594594594,58,0.19333333333333333,0.19594594594594594
calibration,0.5619955532019433,300,300,0,297,3,0.99,0.8013468013468014,0.19865319865319866,59,0.19666666666666666,0.19865319865319866
calibration,0.5405346879475277,300,300,0,298,2,0.9933333333333333,0.7986577181208053,0.20134228187919462,60,0.2,0.20134228187919462
calibration,0.5392780554769555,300,300,0,299,1,0.9966666666666667,0.7959866220735786,0.2040133779264214,61,0.20333333333333334,0.2040133779264214
calibration,0.49944446478098875,300,300,0,300,0,1.0,0.7966666666666666,0.20333333333333334,61,0.20333333333333334,0.20333333333333334
validation,1.0,100,100,0,63,37,0.63,0.9682539682539683,0.031746031746031744,2,0.02,0.031746031746031744
validation,0.9999998063873693,100,100,0,67,33,0.67,0.9701492537313433,0.029850746268656716,2,0.02,0.029850746268656716
validation,0.9999996871837232,100,100,0,68,32,0.68,0.9705882352941176,0.029411764705882353,2,0.02,0.029411764705882353
validation,0.9999995679801056,100,100,0,69,31,0.69,0.9710144927536232,0.028985507246376812,2,0.02,0.028985507246376812
validation,0.999999448776502,100,100,0,70,30,0.7,0.9714285714285714,0.02857142857142857,2,0.02,0.02857142857142857
validation,0.9999993295729128,100,100,0,71,29,0.71,0.971830985915493,0.028169014084507043,2,0.02,0.028169014084507043
validation,0.999997064707474,100,100,0,72,28,0.72,0.9722222222222222,0.027777777777777776,2,0.02,0.027777777777777776
validation,0.9999932502087602,100,100,0,73,27,0.73,0.9726027397260274,0.0273972602739726,2,0.02,0.0273972602739726
validation,0.9999545100305701,100,100,0,74,26,0.74,0.9594594594594594,0.04054054054054054,3,0.03,0.04054054054054054
validation,0.9999443782297815,100,100,0,75,25,0.75,0.96,0.04,3,0.03,0.04
validation,0.9999239957468543,100,100,0,76,24,0.76,0.9605263157894737,0.039473684210526314,3,0.03,0.039473684210526314
validation,0.9999203007211879,100,100,0,77,23,0.77,0.948051948051948,0.05194805194805195,4,0.04,0.05194805194805195
validation,0.9998597592469344,100,100,0,78,22,0.78,0.9358974358974359,0.0641025641025641,5,0.05,0.0641025641025641
validation,0.9998579714472587,100,100,0,80,20,0.8,0.925,0.075,6,0.06,0.075
validation,0.999841289108504,100,100,0,81,19,0.81,0.9259259259259259,0.07407407407407407,6,0.06,0.07407407407407407
validation,0.9997964803243284,100,100,0,82,18,0.82,0.9146341463414634,0.08536585365853659,7,0.07,0.08536585365853659
validation,0.9996766260271772,100,100,0,83,17,0.83,0.9036144578313253,0.0963855421686747,8,0.08,0.0963855421686747
validation,0.9996005117567388,100,100,0,84,16,0.84,0.8928571428571429,0.10714285714285714,9,0.09,0.10714285714285714
validation,0.9991809395021376,100,100,0,85,15,0.85,0.8941176470588236,0.10588235294117647,9,0.09,0.10588235294117647
validation,0.9990888326383259,100,100,0,86,14,0.86,0.8953488372093024,0.10465116279069768,9,0.09,0.10465116279069768
validation,0.9985695957594872,100,100,0,87,13,0.87,0.896551724137931,0.10344827586206896,9,0.09,0.10344827586206896
validation,0.998072988160571,100,100,0,88,12,0.88,0.8863636363636364,0.11363636363636363,10,0.1,0.11363636363636363
validation,0.9978665310433893,100,100,0,89,11,0.89,0.8764044943820225,0.12359550561797752,11,0.11,0.12359550561797752
validation,0.9958067109214287,100,100,0,90,10,0.9,0.8666666666666667,0.13333333333333333,12,0.12,0.13333333333333333
validation,0.9937978534947751,100,100,0,91,9,0.91,0.8571428571428571,0.14285714285714285,13,0.13,0.14285714285714285
validation,0.9791703344099318,100,100,0,92,8,0.92,0.8586956521739131,0.14130434782608695,13,0.13,0.14130434782608695
validation,0.8983711555622185,100,100,0,93,7,0.93,0.8494623655913979,0.15053763440860216,14,0.14,0.15053763440860216
validation,0.8175737973670583,100,100,0,94,6,0.94,0.8404255319148937,0.1595744680851064,15,0.15,0.1595744680851064
validation,0.81749379684073,100,100,0,95,5,0.95,0.8315789473684211,0.16842105263157894,16,0.16,0.16842105263157894
validation,0.7844296950126372,100,100,0,96,4,0.96,0.8229166666666666,0.17708333333333334,17,0.17,0.17708333333333334
validation,0.7103721641633709,100,100,0,97,3,0.97,0.8144329896907216,0.18556701030927836,18,0.18,0.18556701030927836
validation,0.6791290873622412,100,100,0,98,2,0.98,0.8061224489795918,0.19387755102040816,19,0.19,0.19387755102040816
validation,0.6786383324434777,100,100,0,99,1,0.99,0.8080808080808081,0.1919191919191919,19,0.19,0.1919191919191919
validation,0.6216771477290204,100,100,0,100,0,1.0,0.81,0.19,19,0.19,0.19
test,1.0,100,100,0,63,37,0.63,0.9682539682539683,0.031746031746031744,2,0.02,0.031746031746031744
test,0.9999998063873693,100,100,0,67,33,0.67,0.9552238805970149,0.04477611940298507,3,0.03,0.04477611940298507
test,0.9999996871837232,100,100,0,70,30,0.7,0.9428571428571428,0.05714285714285714,4,0.04,0.05714285714285714
test,0.999999448776502,100,100,0,72,28,0.72,0.9444444444444444,0.05555555555555555,4,0.04,0.05555555555555555
test,0.9999992103693378,100,100,0,73,27,0.73,0.9452054794520548,0.0547945205479452,4,0.04,0.0547945205479452
test,0.999997064707474,100,100,0,74,26,0.74,0.9459459459459459,0.05405405405405406,4,0.04,0.05405405405405406
test,0.9999962302845802,100,100,0,75,25,0.75,0.9466666666666667,0.05333333333333334,4,0.04,0.05333333333333334
test,0.9999951574562983,100,100,0,76,24,0.76,0.9473684210526315,0.05263157894736842,4,0.04,0.05263157894736842
test,0.9999816875973553,100,100,0,77,23,0.77,0.935064935064935,0.06493506493506493,5,0.05,0.06493506493506493
test,0.9999597547670889,100,100,0,78,22,0.78,0.9358974358974359,0.0641025641025641,5,0.05,0.0641025641025641
test,0.9999540332370438,100,100,0,79,21,0.79,0.9367088607594937,0.06329113924050633,5,0.05,0.06329113924050633
test,0.9999037328662894,100,100,0,80,20,0.8,0.925,0.075,6,0.06,0.075
test,0.9999020641783191,100,100,0,81,19,0.81,0.9135802469135802,0.08641975308641975,7,0.07,0.08641975308641975
test,0.9997220179590963,100,100,0,82,18,0.82,0.9146341463414634,0.08536585365853659,7,0.07,0.08536585365853659
test,0.9996543460603065,100,100,0,83,17,0.83,0.9036144578313253,0.0963855421686747,8,0.08,0.0963855421686747
test,0.9989740296781593,100,100,0,84,16,0.84,0.8928571428571429,0.10714285714285714,9,0.09,0.10714285714285714
test,0.9989208530565242,100,100,0,85,15,0.85,0.8941176470588236,0.10588235294117647,9,0.09,0.10588235294117647
test,0.9980612280751829,100,100,0,86,14,0.86,0.8953488372093024,0.10465116279069768,9,0.09,0.10465116279069768
test,0.9947714217516607,100,100,0,87,13,0.87,0.896551724137931,0.10344827586206896,9,0.09,0.10344827586206896
test,0.9933068896210222,100,100,0,88,12,0.88,0.8977272727272727,0.10227272727272728,9,0.09,0.10227272727272728
test,0.9932841905058639,100,100,0,89,11,0.89,0.8876404494382022,0.11235955056179775,10,0.1,0.11235955056179775
test,0.9858255541160836,100,100,0,90,10,0.9,0.8777777777777778,0.12222222222222222,11,0.11,0.12222222222222222
test,0.9827979573292684,100,100,0,91,9,0.91,0.8681318681318682,0.13186813186813187,12,0.12,0.13186813186813187
test,0.9816899266155702,100,100,0,92,8,0.92,0.8586956521739131,0.14130434782608695,13,0.13,0.14130434782608695
test,0.9806427303129933,100,100,0,93,7,0.93,0.8494623655913979,0.15053763440860216,14,0.14,0.15053763440860216
test,0.9784786423343906,100,100,0,94,6,0.94,0.8404255319148937,0.1595744680851064,15,0.15,0.1595744680851064
test,0.970021423964009,100,100,0,95,5,0.95,0.8315789473684211,0.16842105263157894,16,0.16,0.16842105263157894
test,0.8517433171840637,100,100,0,96,4,0.96,0.8229166666666666,0.17708333333333334,17,0.17,0.17708333333333334
test,0.8175744308728488,100,100,0,97,3,0.97,0.8247422680412371,0.17525773195876287,17,0.17,0.17525773195876287
test,0.6740609645688512,100,100,0,98,2,0.98,0.826530612244898,0.17346938775510204,17,0.17,0.17346938775510204
test,0.6223554173390231,100,100,0,99,1,0.99,0.8282828282828283,0.1717171717171717,17,0.17,0.1717171717171717
test,0.6221314207540862,100,100,0,100,0,1.0,0.82,0.18,18,0.18,0.18
