model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4o-2024-08-06,1.0,0.998892665530484,60,60,0,25,35,0.4166666666666667,0.88,0.12,3,0.05,0.12
gpt-4o-2024-08-06,1.0,0.9985850519709198,60,60,0,26,34,0.43333333333333335,0.8846153846153846,0.11538461538461539,3,0.05,0.11538461538461539
gpt-4o-2024-08-06,1.0,0.998003529862003,60,60,0,28,32,0.4666666666666667,0.8928571428571429,0.10714285714285714,3,0.05,0.10714285714285714
gpt-4o-2024-08-06,1.0,0.9976429493467918,60,60,0,29,31,0.48333333333333334,0.8620689655172413,0.13793103448275862,4,0.06666666666666667,0.13793103448275862
gpt-4o-2024-08-06,1.0,0.9975862377190979,60,60,0,32,28,0.5333333333333333,0.78125,0.21875,7,0.11666666666666667,0.21875
gpt-4o-2024-08-06,1.0,0.9973607670462994,60,60,0,34,26,0.5666666666666667,0.7941176470588235,0.20588235294117646,7,0.11666666666666667,0.20588235294117646
gpt-4o-2024-08-06,1.0,0.9968615613504123,60,60,0,35,25,0.5833333333333334,0.7714285714285715,0.22857142857142856,8,0.13333333333333333,0.22857142857142856
gpt-4o-2024-08-06,1.0,0.9950907467906867,60,60,0,36,24,0.6,0.7777777777777778,0.2222222222222222,8,0.13333333333333333,0.2222222222222222
gpt-4o-2024-08-06,1.0,0.9949358942024112,60,60,0,37,23,0.6166666666666667,0.7837837837837838,0.21621621621621623,8,0.13333333333333333,0.21621621621621623
gpt-4o-2024-08-06,1.0,0.9941890006345595,60,60,0,38,22,0.6333333333333333,0.7631578947368421,0.23684210526315788,9,0.15,0.23684210526315788
gpt-4o-2024-08-06,1.0,0.9856439370166334,60,60,0,41,19,0.6833333333333333,0.7804878048780488,0.21951219512195122,9,0.15,0.21951219512195122
gpt-4o-2024-08-06,1.0,0.8868103290162614,60,60,0,43,17,0.7166666666666667,0.7441860465116279,0.2558139534883721,11,0.18333333333333332,0.2558139534883721
gpt-4o-2024-08-06,1.0,0.7786053555787753,60,60,0,45,15,0.75,0.7111111111111111,0.28888888888888886,13,0.21666666666666667,0.28888888888888886
gpt-4o-2024-08-06,1.0,0.5688815155220269,60,60,0,46,14,0.7666666666666667,0.6956521739130435,0.30434782608695654,14,0.23333333333333334,0.30434782608695654
gpt-4o-2024-08-06,1.0,0.5590813452921929,60,60,0,47,13,0.7833333333333333,0.7021276595744681,0.2978723404255319,14,0.23333333333333334,0.2978723404255319
gpt-4o-2024-08-06,1.0,0.4984219284419679,60,60,0,48,12,0.8,0.7083333333333334,0.2916666666666667,14,0.23333333333333334,0.2916666666666667
gpt-4o-2024-08-06,1.0,0.482293720216414,60,60,0,49,11,0.8166666666666667,0.7142857142857143,0.2857142857142857,14,0.23333333333333334,0.2857142857142857
gpt-4o-2024-08-06,1.0,0.4748410152773255,60,60,0,50,10,0.8333333333333334,0.72,0.28,14,0.23333333333333334,0.28
