model,temperature,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
gpt-4.1-mini-2025-04-14,1.0,0.9999714363225806,60,60,0,52,8,0.8666666666666667,0.9230769230769231,0.07692307692307693,4,0.06666666666666667,0.07692307692307693
gpt-4.1-mini-2025-04-14,1.0,0.9999241149398151,60,60,0,53,7,0.8833333333333333,0.9056603773584906,0.09433962264150944,5,0.08333333333333333,0.09433962264150944
gpt-4.1-mini-2025-04-14,1.0,0.9997614458648256,60,60,0,54,6,0.9,0.8888888888888888,0.1111111111111111,6,0.1,0.1111111111111111
gpt-4.1-mini-2025-04-14,1.0,0.9995396468428095,60,60,0,55,5,0.9166666666666666,0.8727272727272727,0.12727272727272726,7,0.11666666666666667,0.12727272727272726
gpt-4.1-mini-2025-04-14,1.0,0.9769947352582931,60,60,0,56,4,0.9333333333333333,0.8571428571428571,0.14285714285714285,8,0.13333333333333333,0.14285714285714285
gpt-4.1-mini-2025-04-14,1.0,0.9501653076542094,60,60,0,57,3,0.95,0.8421052631578947,0.15789473684210525,9,0.15,0.15789473684210525
gpt-4.1-mini-2025-04-14,1.0,0.948880497853654,60,60,0,59,1,0.9833333333333333,0.8135593220338984,0.1864406779661017,11,0.18333333333333332,0.1864406779661017
gpt-4.1-mini-2025-04-14,1.0,0.9399079891607476,60,60,0,60,0,1.0,0.8,0.2,12,0.2,0.2
gpt-4o-2024-08-06,0.0,0.999992892600195,60,60,0,1,59,0.016666666666666666,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999917005724162,60,60,0,2,58,0.03333333333333333,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999913429648598,60,60,0,3,57,0.05,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999891973194788,60,60,0,4,56,0.06666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999876476903248,60,60,0,5,55,0.08333333333333333,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999765619468316,60,60,0,7,53,0.11666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999759659436347,60,60,0,9,51,0.15,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999534372472745,60,60,0,12,48,0.2,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999312666453226,60,60,0,13,47,0.21666666666666667,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999291211297546,60,60,0,14,46,0.23333333333333334,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.9999262604446415,60,60,0,15,45,0.25,1.0,0.0,0,0.0,0.0
gpt-4o-2024-08-06,0.0,0.999840931566558,60,60,0,17,43,0.2833333333333333,0.8823529411764706,0.11764705882352941,2,0.03333333333333333,0.11764705882352941
gpt-4o-2024-08-06,0.0,0.9998011283329947,60,60,0,18,42,0.3,0.8888888888888888,0.1111111111111111,2,0.03333333333333333,0.1111111111111111
gpt-4o-2024-08-06,0.0,0.9997571555670488,60,60,0,19,41,0.31666666666666665,0.8947368421052632,0.10526315789473684,2,0.03333333333333333,0.10526315789473684
gpt-4o-2024-08-06,0.0,0.9995115464619087,60,60,0,21,39,0.35,0.9047619047619048,0.09523809523809523,2,0.03333333333333333,0.09523809523809523
gpt-4o-2024-08-06,0.0,0.999418899577202,60,60,0,22,38,0.36666666666666664,0.8636363636363636,0.13636363636363635,3,0.05,0.13636363636363635
gpt-4o-2024-08-06,0.0,0.999330676158462,60,60,0,23,37,0.38333333333333336,0.8695652173913043,0.13043478260869565,3,0.05,0.13043478260869565
gpt-4o-2024-08-06,0.0,0.9990310053538145,60,60,0,25,35,0.4166666666666667,0.88,0.12,3,0.05,0.12
gpt-4o-2024-08-06,0.0,0.9987058376038247,60,60,0,26,34,0.43333333333333335,0.8846153846153846,0.11538461538461539,3,0.05,0.11538461538461539
gpt-4o-2024-08-06,0.0,0.9985850519709198,60,60,0,27,33,0.45,0.8888888888888888,0.1111111111111111,3,0.05,0.1111111111111111
gpt-4o-2024-08-06,0.0,0.998260290849988,60,60,0,28,32,0.4666666666666667,0.8571428571428571,0.14285714285714285,4,0.06666666666666667,0.14285714285714285
gpt-4o-2024-08-06,0.0,0.998003529862003,60,60,0,30,30,0.5,0.8666666666666667,0.13333333333333333,4,0.06666666666666667,0.13333333333333333
gpt-4o-2024-08-06,0.0,0.9975862377190979,60,60,0,32,28,0.5333333333333333,0.8125,0.1875,6,0.1,0.1875
