method,split,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
raw_label_likelihood,calibration,0.9780861693051359,300,300,0,269,31,0.8966666666666666,0.8698884758364313,0.13011152416356878,35,0.11666666666666667,0.13011152416356878
raw_label_likelihood,calibration,0.9769947352582931,300,300,0,270,30,0.9,0.8666666666666667,0.13333333333333333,36,0.12,0.13333333333333333
raw_label_likelihood,calibration,0.9753297588367545,300,300,0,271,29,0.9033333333333333,0.8634686346863468,0.13653136531365315,37,0.12333333333333334,0.13653136531365315
raw_label_likelihood,calibration,0.9738611589665995,300,300,0,272,28,0.9066666666666666,0.8639705882352942,0.13602941176470587,37,0.12333333333333334,0.13602941176470587
raw_label_likelihood,calibration,0.9706873663985345,300,300,0,273,27,0.91,0.8644688644688645,0.13553113553113552,37,0.12333333333333334,0.13553113553113552
raw_label_likelihood,calibration,0.9695040025198425,300,300,0,274,26,0.9133333333333333,0.8613138686131386,0.1386861313868613,38,0.12666666666666668,0.1386861313868613
raw_label_likelihood,calibration,0.962671114965801,300,300,0,275,25,0.9166666666666666,0.8581818181818182,0.14181818181818182,39,0.13,0.14181818181818182
raw_label_likelihood,calibration,0.9626664815686116,300,300,0,276,24,0.92,0.855072463768116,0.14492753623188406,40,0.13333333333333333,0.14492753623188406
raw_label_likelihood,calibration,0.9274743051808741,300,300,0,277,23,0.9233333333333333,0.851985559566787,0.148014440433213,41,0.13666666666666666,0.148014440433213
raw_label_likelihood,calibration,0.9110010187754964,300,300,0,278,22,0.9266666666666666,0.8489208633093526,0.1510791366906475,42,0.14,0.1510791366906475
raw_label_likelihood,calibration,0.902961353273129,300,300,0,279,21,0.93,0.8458781362007168,0.15412186379928317,43,0.14333333333333334,0.15412186379928317
raw_label_likelihood,calibration,0.8815976093098447,300,300,0,280,20,0.9333333333333333,0.8428571428571429,0.15714285714285714,44,0.14666666666666667,0.15714285714285714
raw_label_likelihood,calibration,0.8807737767452039,300,300,0,281,19,0.9366666666666666,0.8398576512455516,0.1601423487544484,45,0.15,0.1601423487544484
raw_label_likelihood,calibration,0.8777180766428979,300,300,0,282,18,0.94,0.8368794326241135,0.16312056737588654,46,0.15333333333333332,0.16312056737588654
raw_label_likelihood,calibration,0.8568003437443986,300,300,0,283,17,0.9433333333333334,0.833922261484099,0.16607773851590105,47,0.15666666666666668,0.16607773851590105
raw_label_likelihood,calibration,0.8505342891926403,300,300,0,284,16,0.9466666666666667,0.8309859154929577,0.16901408450704225,48,0.16,0.16901408450704225
raw_label_likelihood,calibration,0.817574028840271,300,300,0,285,15,0.95,0.8280701754385965,0.17192982456140352,49,0.16333333333333333,0.17192982456140352
raw_label_likelihood,calibration,0.8058931368339015,300,300,0,286,14,0.9533333333333334,0.8251748251748252,0.17482517482517482,50,0.16666666666666666,0.17482517482517482
raw_label_likelihood,calibration,0.8025159288934114,300,300,0,287,13,0.9566666666666667,0.8222996515679443,0.17770034843205576,51,0.17,0.17770034843205576
raw_label_likelihood,calibration,0.7771313568862985,300,300,0,288,12,0.96,0.8229166666666666,0.17708333333333334,51,0.17,0.17708333333333334
raw_label_likelihood,calibration,0.754820390672397,300,300,0,289,11,0.9633333333333334,0.8200692041522492,0.17993079584775087,52,0.17333333333333334,0.17993079584775087
raw_label_likelihood,calibration,0.7421981847729029,300,300,0,290,10,0.9666666666666667,0.8172413793103448,0.18275862068965518,53,0.17666666666666667,0.18275862068965518
raw_label_likelihood,calibration,0.7309920650282163,300,300,0,291,9,0.97,0.8144329896907216,0.18556701030927836,54,0.18,0.18556701030927836
raw_label_likelihood,calibration,0.7256197899334799,300,300,0,292,8,0.9733333333333334,0.8116438356164384,0.18835616438356165,55,0.18333333333333332,0.18835616438356165
raw_label_likelihood,calibration,0.7211044653289611,300,300,0,293,7,0.9766666666666667,0.8122866894197952,0.18771331058020477,55,0.18333333333333332,0.18771331058020477
raw_label_likelihood,calibration,0.5983654331879842,300,300,0,294,6,0.98,0.8095238095238095,0.19047619047619047,56,0.18666666666666668,0.19047619047619047
raw_label_likelihood,calibration,0.5680581818748421,300,300,0,295,5,0.9833333333333333,0.8067796610169492,0.19322033898305085,57,0.19,0.19322033898305085
