run,target_description,cad_id,object_id,observed_identity,ground_truth_pair,selected,fused_rank,visual_raw,visual_normalized,ransac_inlier_ratio,registration_fitness,observed_to_cad_rmse_m,inlier_rmse_m,correspondence_count,geometry_normalized,fused_score,scene_feature_cache_hit,crop_time_s,dino_batch_share_time_s,fpfh_feature_time_s,visual_comparison_time_s,geometric_matching_time_s,fusion_time_s,accounted_time_s
colored_cpu,medium white gear,Gear_Medium,object_002,Gear_Large,False,False,5,0.7667008373213207,0.8833504186606603,0.6043956043956044,0.7032967032967034,0.008131469248496628,0.003434935420190143,128,0.7032967032967034,0.7933235609786818,True,0.0,0.0,0.0,8.163599999910787e-05,0.012409035999999318,6.6860000007551434e-06,0.012497357999999181
colored_cpu,medium white gear,Gear_Medium,object_001,pulley,False,False,6,0.5514343835435368,0.7757171917717685,0.5733333333333334,0.6533333333333333,0.008736517253387342,0.0032003475745881,98,0.6533333333333333,0.7145252625525509,True,0.0,0.0,0.0,0.00013968400000052839,0.007414743000000001,1.8932999999776712e-05,0.0075733600000003065
colored_cpu,rectangular pin,KET16_Square_16mm,object_003,blue_block,False,True,1,0.5252773227129596,0.7626386613564797,0.3969465648854962,0.549618320610687,0.010319381064478127,0.0037020617597210413,72,0.549618320610687,0.6561284909835834,True,0.0,0.0,0.0,0.00010070599999956187,0.009624177000000955,5.63099999872918e-06,0.009730513999999246
colored_cpu,rectangular pin,KET16_Square_16mm,object_006,KET16_Square_16mm,True,False,2,0.42646033523114674,0.7132301676155733,0.5581395348837209,0.5813953488372093,0.013250715936803109,0.0032855071811708422,25,0.5813953488372093,0.6473127582263913,True,0.0,0.0,0.0,7.320199999938382e-05,0.000795148999999995,4.7199999997360464e-06,0.0008730709999991149
colored_cpu,rectangular pin,KET16_Square_16mm,object_005,Gear_Medium,False,False,3,0.040129217052722196,0.520064608526361,0.6271186440677966,0.7627118644067796,0.006406339702321476,0.003746391130943272,90,0.7627118644067796,0.6413882364665704,True,0.0,0.0,0.0,6.878300000145998e-05,0.0032804580000007633,5.880999999874348e-06,0.0033551220000020976
colored_cpu,rectangular pin,KET16_Square_16mm,object_004,red_block,False,False,4,0.4833016451681095,0.7416508225840548,0.43283582089552236,0.4626865671641791,0.012470089820888182,0.0036459886624172905,62,0.4626865671641791,0.602168694874117,True,0.0,0.0,0.0,8.130900000047347e-05,0.009080935999998374,1.9593999999401035e-05,0.009181838999998249
colored_cpu,rectangular pin,KET16_Square_16mm,object_002,Gear_Large,False,False,5,0.28069155385333916,0.6403457769266696,0.0989010989010989,0.4835164835164835,0.014526064742348254,0.0035742984269886316,88,0.4835164835164835,0.5619311302215766,True,0.0,0.0,0.0,0.00011508500000090294,0.009121388000000508,7.81500000002211e-06,0.009244288000001433
colored_cpu,rectangular pin,KET16_Square_16mm,object_001,pulley,False,False,6,0.3221602744952755,0.6610801372476378,0.0,0.0,,,0,0.0,0.3305400686238189,True,0.0,0.0,0.0,0.00013441399999969406,0.007361958000000612,2.1714999999034035e-05,0.0075180869999993405
colored_cpu,pulley,pulley,object_001,pulley,True,True,1,0.6807444522983724,0.8403722261491862,0.38,1.0,0.0024329811408692783,0.0021073226834684815,150,1.0,0.9201861130745931,True,0.0,0.0,0.0,0.00013544299999956877,0.00864672199999994,1.9284999998703256e-05,0.008801449999998212
colored_cpu,pulley,pulley,object_006,KET16_Square_16mm,False,False,2,0.3789103446947851,0.6894551723473925,0.7674418604651163,1.0,0.0027700651512965286,0.0024205936277478146,43,1.0,0.8447275861736963,True,0.0,0.0,0.0,7.982900000058635e-05,0.0012642459999998579,3.5920000005518204e-06,0.001347667000000996
colored_cpu,pulley,pulley,object_004,red_block,False,False,3,0.4920517573336757,0.7460258786668379,0.9328358208955224,0.9328358208955224,0.004230173890711774,0.003120117909370045,125,0.9328358208955224,0.8394308497811802,True,0.0,0.0,0.0,8.003900000019826e-05,0.006252979999999297,3.8090000007429126e-06,0.006336828000000239
colored_cpu,pulley,pulley,object_002,Gear_Large,False,False,4,0.5281214141728164,0.7640607070864083,0.8791208791208791,0.9010989010989011,0.004626985026466472,0.0035203028278915434,164,0.9010989010989011,0.8325798040926546,True,0.0,0.0,0.0,8.596800000049143e-05,0.010017440000000377,6.277000000665112e-06,0.010109685000001534
colored_cpu,pulley,pulley,object_003,blue_block,False,False,5,0.5638596321154997,0.7819298160577499,0.8778625954198473,0.8778625954198473,0.005318434271399177,0.004052327418646543,115,0.8778625954198473,0.8298962057387986,True,0.0,0.0,0.0,7.762699999958045e-05,0.00746642799999897,4.2069999999228e-06,0.0075482619999984735
colored_cpu,pulley,pulley,object_005,Gear_Medium,False,False,6,0.29080658465332604,0.645403292326663,0.9745762711864406,1.0,0.0034692231844529902,0.003371122022164489,118,1.0,0.8227016461633315,True,0.0,0.0,0.0,7.519200000061232e-05,0.012103744999999222,3.815999999545738e-06,0.01218275299999938
colored_cpu,red block,red_block,object_003,blue_block,False,True,1,0.5367295492663581,0.768364774633179,1.0,1.0,0.0020388602730521716,0.001976622701990864,131,1.0,0.8841823873165895,True,0.0,0.0,0.0,8.827600000316238e-05,0.004468398000000207,5.553000001157216e-06,0.004562227000004526
colored_cpu,red block,red_block,object_004,red_block,True,False,2,0.5263514752597468,0.7631757376298733,0.9701492537313433,1.0,0.0017094527039109566,0.0016491228869637913,134,1.0,0.8815878688149367,True,0.0,0.0,0.0,7.735300000177858e-05,0.006433601000001232,4.121999999995296e-06,0.006515076000003006
colored_cpu,red block,red_block,object_006,KET16_Square_16mm,False,False,3,0.3683020172287719,0.6841510086143859,0.8837209302325582,0.9069767441860465,0.004756719388529783,0.004057919343242371,39,0.9069767441860465,0.7955638764002162,True,0.0,0.0,0.0,7.986800000026051e-05,0.0008444430000018599,3.67300000192472e-06,0.0009279840000040451
colored_cpu,red block,red_block,object_002,Gear_Large,False,False,4,0.25399853566106323,0.6269992678305316,0.7692307692307693,0.8791208791208791,0.005246783493216061,0.004166066250552472,160,0.8791208791208791,0.7530600734757054,True,0.0,0.0,0.0,8.837200000044731e-05,0.012478740000002375,6.339000002242301e-06,0.012573451000005065
colored_cpu,red block,red_block,object_005,Gear_Medium,False,False,5,0.047521420040548885,0.5237607100202745,0.8305084745762712,0.847457627118644,0.005487365787736763,0.003914081249347154,100,0.847457627118644,0.6856091685694592,True,0.0,0.0,0.0,6.834099999863952e-05,0.005311069999997642,3.880999997818435e-06,0.0053832919999941
colored_cpu,red block,red_block,object_001,pulley,False,False,6,0.28147003120160186,0.6407350156008009,0.2733333333333333,0.36,0.016457232791305235,0.004110378109548953,54,0.36,0.5003675078004004,True,0.0,0.0,0.0,0.00013094399999857842,0.00774447699999925,1.8265000001349563e-05,0.007893685999999178
colored_cpu,blue block,blue_block,object_003,blue_block,True,True,1,0.5231833920890198,0.7615916960445099,1.0,1.0,0.0020388602730521716,0.001976622701990864,131,1.0,0.880795848022255,True,0.0,0.0,0.0,8.788599999931535e-05,0.004400780000000992,4.814000000408214e-06,0.004493480000000716
colored_cpu,blue block,blue_block,object_004,red_block,False,False,2,0.49020950296379845,0.7451047514818993,0.9701492537313433,1.0,0.0017094527039109566,0.0016491228869637913,134,1.0,0.8725523757409497,True,0.0,0.0,0.0,7.905200000024593e-05,0.0063509660000029555,4.241999999266e-06,0.0064342600000024675
colored_cpu,blue block,blue_block,object_006,KET16_Square_16mm,False,False,3,0.3327035966503081,0.666351798325154,0.8837209302325582,0.9069767441860465,0.004756719388529783,0.004057919343242371,39,0.9069767441860465,0.7866642712556002,True,0.0,0.0,0.0,6.328999999993812e-05,0.0009680819999999812,4.129000000574479e-06,0.0010355010000004938
colored_cpu,blue block,blue_block,object_002,Gear_Large,False,False,4,0.23556830706129497,0.6177841535306475,0.7692307692307693,0.8791208791208791,0.005246783493216061,0.004166066250552472,160,0.8791208791208791,0.7484525163257634,True,0.0,0.0,0.0,9.292699999718934e-05,0.011959253000000558,6.917000000328244e-06,0.012059096999998076
colored_cpu,blue block,blue_block,object_005,Gear_Medium,False,False,5,0.03598032460401745,0.5179901623020087,0.8305084745762712,0.847457627118644,0.005487365787736763,0.003914081249347154,100,0.847457627118644,0.6827238947103264,True,0.0,0.0,0.0,7.208700000305157e-05,0.004717806000002156,4.223999997776673e-06,0.004794117000002984
colored_cpu,blue block,blue_block,object_001,pulley,False,False,6,0.2790999180406401,0.6395499590203201,0.2733333333333333,0.36,0.016457232791305235,0.004110378109548953,54,0.36,0.49977497951016003,True,0.0,0.0,0.0,0.00013701199999971436,0.00798171500000322,2.0192000000918142e-05,0.008138919000003852
