cohort,condition,threshold,total_trials,score_available_trials,score_unavailable_trials,autonomous_decisions,deferred_decisions,autonomous_coverage,autonomous_accuracy,selective_risk,false_autonomous_acceptance_count,false_autonomous_acceptance_rate_all_trials,false_autonomous_acceptance_rate_autonomous
additional_states,label_then_evidence,0.9341307649391867,100,100,0,95,5,0.95,0.8947368421052632,0.10526315789473684,10,0.1,0.10526315789473684
additional_states,label_then_evidence,0.8654411373220887,100,100,0,96,4,0.96,0.8958333333333334,0.10416666666666667,10,0.1,0.10416666666666667
additional_states,label_then_evidence,0.8516139578145572,100,100,0,97,3,0.97,0.8969072164948454,0.10309278350515463,10,0.1,0.10309278350515463
additional_states,label_then_evidence,0.7945043207104379,100,100,0,98,2,0.98,0.8979591836734694,0.10204081632653061,10,0.1,0.10204081632653061
additional_states,label_then_evidence,0.6234615786952638,100,100,0,99,1,0.99,0.8888888888888888,0.1111111111111111,11,0.11,0.1111111111111111
additional_states,label_then_evidence,0.4563314701779981,100,100,0,100,0,1.0,0.88,0.12,12,0.12,0.12
additional_objects,label_only,1.0,12,12,0,9,3,0.75,1.0,0.0,0,0.0,0.0
additional_objects,label_only,0.9999995679801056,12,12,0,10,2,0.8333333333333334,1.0,0.0,0,0.0,0.0
additional_objects,label_only,0.9999920581810099,12,12,0,11,1,0.9166666666666666,1.0,0.0,0,0.0,0.0
additional_objects,label_only,0.9980728690648153,12,12,0,12,0,1.0,1.0,0.0,0,0.0,0.0
additional_objects,label_then_evidence,1.0,12,12,0,9,3,0.75,1.0,0.0,0,0.0,0.0
additional_objects,label_then_evidence,0.9999998063873693,12,12,0,10,2,0.8333333333333334,1.0,0.0,0,0.0,0.0
additional_objects,label_then_evidence,0.999999091165777,12,12,0,11,1,0.9166666666666666,1.0,0.0,0,0.0,0.0
additional_objects,label_then_evidence,0.9992903233093213,12,12,0,12,0,1.0,1.0,0.0,0,0.0,0.0
pooled,label_only,1.0,112,112,0,74,38,0.6607142857142857,0.9324324324324325,0.06756756756756757,5,0.044642857142857144,0.06756756756756757
pooled,label_only,0.9999998063873693,112,112,0,84,28,0.75,0.9404761904761905,0.05952380952380952,5,0.044642857142857144,0.05952380952380952
pooled,label_only,0.9999996871837232,112,112,0,90,22,0.8035714285714286,0.9222222222222223,0.07777777777777778,7,0.0625,0.07777777777777778
pooled,label_only,0.9999995679801056,112,112,0,92,20,0.8214285714285714,0.9239130434782609,0.07608695652173914,7,0.0625,0.07608695652173914
pooled,label_only,0.999999448776502,112,112,0,94,18,0.8392857142857143,0.925531914893617,0.07446808510638298,7,0.0625,0.07446808510638298
pooled,label_only,0.9999993295729128,112,112,0,95,17,0.8482142857142857,0.9263157894736842,0.07368421052631578,7,0.0625,0.07368421052631578
pooled,label_only,0.9999987335551229,112,112,0,96,16,0.8571428571428571,0.9270833333333334,0.07291666666666667,7,0.0625,0.07291666666666667
pooled,label_only,0.9999974223173038,112,112,0,97,15,0.8660714285714286,0.9278350515463918,0.07216494845360824,7,0.0625,0.07216494845360824
pooled,label_only,0.9999944422379315,112,112,0,98,14,0.875,0.9183673469387755,0.08163265306122448,8,0.07142857142857142,0.08163265306122448
