condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,autonomous_depth_only,original,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,original,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,original,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,original,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,original,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.4,24,23,23,0.9583333333333334,0.9583333333333334,86,5,5,0.05813953488372093,0.05813953488372093,10,10,10,1.0,1.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.5,24,23,23,0.9583333333333334,0.9583333333333334,86,3,3,0.03488372093023256,0.03488372093023256,10,10,10,1.0,1.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.6,24,23,23,0.9583333333333334,0.9583333333333334,86,1,1,0.011627906976744186,0.011627906976744186,10,10,10,1.0,1.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.65,24,18,18,0.75,0.75,86,1,1,0.011627906976744186,0.011627906976744186,10,8,8,0.8,0.8
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.7,24,14,14,0.5833333333333334,0.5833333333333334,86,1,1,0.011627906976744186,0.011627906976744186,10,6,6,0.6,0.6
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.8,24,5,5,0.20833333333333334,0.20833333333333334,86,0,0,0.0,0.0,10,2,2,0.2,0.2
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.9,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.95,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.97,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.98,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.99,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.995,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.9999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.99999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_101,all,0.999999,24,0,0,0.0,0.0,86,0,0,0.0,0.0,10,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.4,25,25,25,1.0,1.0,96,8,8,0.08333333333333333,0.08333333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.5,25,25,25,1.0,1.0,96,7,7,0.07291666666666667,0.07291666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.6,25,24,24,0.96,0.96,96,6,6,0.0625,0.0625,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.65,25,24,24,0.96,0.96,96,4,4,0.041666666666666664,0.041666666666666664,11,10,10,0.9090909090909091,0.9090909090909091
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.7,25,17,17,0.68,0.68,96,1,1,0.010416666666666666,0.010416666666666666,11,8,8,0.7272727272727273,0.7272727272727273
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.8,25,9,9,0.36,0.36,96,1,1,0.010416666666666666,0.010416666666666666,11,4,4,0.36363636363636365,0.36363636363636365
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.9,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.95,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.97,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,autonomous_depth_only,state_202,all,0.98,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
