condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper,macro_family_auc_lower,macro_family_auc_upper,macro_family_count
family_ablation,qwen3.5:9b,autonomous_depth_only,original,all,121,25,96,0.9991666666666666,0.9991666666666666,0,121,47,0.3884297520661157,0.29030872949026015,0.29030872949026015,0.41778772345289505,0.41778772345289505,25,0,0.0,0.9776670743120219,0.9776670743120219,0.01684875840249773,0.01684875840249773,96,47,0.4895833333333333,0.11130916052625965,0.11130916052625965,0.5221989122681028,0.5221989122681028,11,0,0.0,0.9760556330659352,0.9760556330659352,0.017859816833796314,0.017859816833796314,1.0,1.0,6
family_ablation,qwen3.5:9b,autonomous_depth_only,state_101,all,110,24,86,1.0,1.0,0,110,34,0.3090909090909091,0.3207543913296449,0.3207543913296449,0.394310210114322,0.394310210114322,24,0,0.0,0.9736562451031752,0.9736562451031752,0.01981987320319342,0.01981987320319342,86,34,0.3953488372093023,0.13854922283470616,0.13854922283470616,0.4988191413453346,0.4988191413453346,10,0,0.0,0.9725782281684573,0.9725782281684573,0.020542008350562146,0.020542008350562146,1.0,1.0,5
family_ablation,qwen3.5:9b,autonomous_depth_only,state_202,all,121,25,96,0.9895833333333334,0.9895833333333334,0,121,47,0.3884297520661157,0.26197635083143644,0.26197635083143644,0.3876843362926959,0.3876843362926959,25,0,0.0,0.9626532408524714,0.9626532408524714,0.02493775773889366,0.02493775773889366,96,47,0.4895833333333333,0.07950841072179188,0.07950841072179188,0.48214959112441536,0.48214959112441536,11,0,0.0,0.9644052004327114,0.9644052004327114,0.024026727635384725,0.024026727635384725,0.9833333333333334,0.9833333333333334,6
family_ablation,qwen3.5:9b,autonomous_depth_only,state_303,all,110,24,86,0.9820736434108527,0.9820736434108527,0,110,56,0.509090909090909,0.29329449024962523,0.29329449024962523,0.4332676407417999,0.4332676407417999,24,0,0.0,0.965295180726422,0.965295180726422,0.025230673143807236,0.025230673143807236,86,56,0.6511627906976745,0.10575941383749586,0.10575941383749586,0.5471384223970536,0.5471384223970536,10,0,0.0,0.960726046549809,0.960726046549809,0.028513968450098442,0.028513968450098442,0.9777777777777779,0.9777777777777779,5
family_ablation,qwen3.5:9b,autonomous_depth_only,all,all,462,98,364,0.9924871047320027,0.9924871047320027,0,462,184,0.39826839826839827,0.2908482071269372,0.2908482071269372,0.40799931347054097,0.40799931347054097,98,0,0.0,0.9698249193777823,0.9698249193777823,0.02169261240676327,0.02169261240676327,364,184,0.5054945054945055,0.10804678459786353,0.10804678459786353,0.5120049637569427,0.5120049637569427,42,0,0.0,0.968526474182566,0.968526474182566,0.02265027993256184,0.02265027993256184,0.9918615984405458,0.9918615984405458,6
baseline,gemma4:12b,all_crops,original,all,121,25,96,0.98125,0.98125,0,121,0,0.0,0.38740322308441455,0.38740322308441455,6.926823211921376e-05,7.174770842218145e-05,25,0,0.0,0.9999490380281612,0.9999490380281612,3.9598811285327745e-08,3.9598811285327745e-08,96,0,0.0,0.22788608377614725,0.22788608377614725,8.729652204315348e-05,9.042169530001898e-05,11,0,0.0,0.9999363584931033,0.9999363584931033,3.7790226387408044e-08,3.7790226387408044e-08,0.9899691358024691,0.9899691358024691,6
baseline,gemma4:12b,all_crops,state_101,all,121,25,96,0.96625,0.96625,0,121,0,0.0,0.36990098784630154,0.36990098784630154,4.7807680970197384e-05,4.946057353218086e-05,25,0,0.0,0.99353722576504,0.99353722576504,3.166760807236749e-07,3.166760807236749e-07,96,0,0.0,0.20749571755496343,0.20749571755496343,6.0175130160164486e-05,6.225846349349781e-05,11,0,0.0,0.9911795366531873,0.9911795366531873,4.908673626066077e-07,4.908673626066077e-07,0.9915123456790124,0.9915123456790124,6
baseline,gemma4:12b,all_crops,state_202,all,121,25,96,0.9814583333333333,0.9814583333333333,0,121,0,0.0,0.362464003795864,0.362464003795864,5.9530956188816495e-05,6.201029503179169e-05,25,0,0.0,0.9998094272647065,0.9998094272647065,5.656364298782478e-08,5.656364298782478e-08,96,0,0.0,0.19648863310085296,0.19648863310085296,7.501907924762605e-05,7.814407924762604e-05,11,0,0.0,0.999761527240986,0.999761527240986,6.090845628521961e-08,6.090845628521961e-08,0.977932098765432,0.977932098765432,6
baseline,gemma4:12b,all_crops,state_303,all,121,25,96,0.9575,0.9575,0,121,0,0.0,0.3628197111589148,0.3628197111589148,4.551070046561699e-05,4.7163593027600465e-05,25,0,0.0,0.9998328137391076,0.9998328137391076,7.409465821345672e-08,7.409465821345672e-08,96,0,0.0,0.19693088236198963,0.19693088236198963,5.734314989462833e-05,5.942648322796167e-05,11,0,0.0,0.9997896281115156,0.9997896281115156,5.4729167786219056e-08,5.4729167786219056e-08,0.9679012345679011,0.9679012345679011,6
baseline,gemma4:12b,all_crops,all,all,484,100,384,0.9720442708333333,0.9720442708333333,0,484,0,0.0,0.37064698147137376,0.37064698147137376,5.5529392435961165e-05,5.7595542503438616e-05,100,0,0.0,0.9982821261992538,0.9982821261992538,1.21733298302571e-07,1.21733298302571e-07,384,0,0.0,0.2072003291984883,0.2072003291984883,6.995847033639309e-05,7.256268031727613e-05,44,0,0.0,0.9976667626246981,0.9976667626246981,1.6107380326636362e-07,1.6107380326636362e-07,0.9823398919753087,0.9823398919753087,6
