condition,model,scope,state,target_family,comparisons,family_pairs,unrelated_pairs,family_vs_unrelated_auc_lower,family_vs_unrelated_auc_upper,missing_exact_p_A,all_count,all_C_count,all_C_frequency,all_mean_p_A_lower,all_mean_p_A_upper,all_mean_p_C_lower,all_mean_p_C_upper,family_count,family_C_count,family_C_frequency,family_mean_p_A_lower,family_mean_p_A_upper,family_mean_p_C_lower,family_mean_p_C_upper,unrelated_count,unrelated_C_count,unrelated_C_frequency,unrelated_mean_p_A_lower,unrelated_mean_p_A_upper,unrelated_mean_p_C_lower,unrelated_mean_p_C_upper,own_count,own_C_count,own_C_frequency,own_mean_p_A_lower,own_mean_p_A_upper,own_mean_p_C_lower,own_mean_p_C_upper
baseline,qwen3.5:4b,autonomous_depth_only,state_303,round_pin,30,9,21,1.0,1.0,0,30,17,0.5666666666666667,0.4158668129742566,0.4158668129742566,0.42563325271466007,0.42563325271466007,9,0,0.0,0.7684604294425651,0.7684604294425651,0.1774912088208866,0.1774912088208866,21,17,0.8095238095238095,0.26475526305926733,0.26475526305926733,0.5319798429548487,0.5319798429548487,3,0,0.0,0.7474977331031344,0.7474977331031344,0.19861561809478012,0.19861561809478012
baseline,qwen3.5:4b,autonomous_depth_only,state_303,Waterproof_Male,10,1,9,0.8888888888888888,0.8888888888888888,0,10,5,0.5,0.31377295092117263,0.31377295092117263,0.5013650142031153,0.5013650142031153,1,0,0.0,0.7909752104943765,0.7909752104943765,0.09018341151094333,0.09018341151094333,9,5,0.5555555555555556,0.2607504776352611,0.2607504776352611,0.54705185894669,0.54705185894669,1,0,0.0,0.7909752104943765,0.7909752104943765,0.09018341151094333,0.09018341151094333
baseline,qwen3.5:4b,autonomous_depth_only,state_303,DSUB_Male,10,1,9,1.0,1.0,0,10,9,0.9,0.2501062610915753,0.2501062610915753,0.5905728117623108,0.5905728117623108,1,0,0.0,0.863619744678796,0.863619744678796,0.06908276049823155,0.06908276049823155,9,9,1.0,0.1819380962485508,0.1819380962485508,0.6485161507916529,0.6485161507916529,1,0,0.0,0.863619744678796,0.863619744678796,0.06908276049823155,0.06908276049823155
baseline,qwen3.5:4b,autonomous_depth_only,all,gear,126,36,90,0.9907407407407407,0.9907407407407407,0,126,73,0.5793650793650794,0.3349117894759713,0.3349117894759713,0.5084016542253373,0.5084016542253373,36,0,0.0,0.7432732907218927,0.7432732907218927,0.13593076098849394,0.13593076098849394,90,73,0.8111111111111111,0.1715671889776026,0.1715671889776026,0.6573900115200747,0.6573900115200747,12,0,0.0,0.7541193460251546,0.7541193460251546,0.1313292903788725,0.1313292903788725
baseline,qwen3.5:4b,autonomous_depth_only,all,hex_nut,84,16,68,0.9972426470588235,0.9972426470588235,0,84,70,0.8333333333333334,0.1821355167214725,0.1821355167214725,0.6251642510962677,0.6251642510962677,16,6,0.375,0.5287561682058574,0.5287561682058574,0.3885428986711317,0.3885428986711317,68,64,0.9411764705882353,0.10057771637220546,0.10057771637220546,0.6808398634315939,0.6808398634315939,8,3,0.375,0.5261536493066786,0.5261536493066786,0.39093344055308865,0.39093344055308865
baseline,qwen3.5:4b,autonomous_depth_only,all,round_pin,126,36,90,1.0,1.0,0,126,78,0.6190476190476191,0.3870703025661788,0.3870703025661788,0.43758354111487635,0.43758354111487635,36,0,0.0,0.7574976247154788,0.7574976247154788,0.19230005371923664,0.19230005371923664,90,78,0.8666666666666667,0.23889937370645878,0.23889937370645878,0.5356969360731322,0.5356969360731322,12,0,0.0,0.7501456284633014,0.7501456284633014,0.19974675453990762,0.19974675453990762
baseline,qwen3.5:4b,autonomous_depth_only,all,Waterproof_Male,42,4,38,0.9342105263157895,0.9342105263157895,0,42,25,0.5952380952380952,0.3153384548934496,0.3153384548934496,0.4972586553920019,0.4972586553920019,4,0,0.0,0.7699761392748281,0.7699761392748281,0.11274549995994812,0.11274549995994812,38,25,0.6578947368421053,0.26748185653751494,0.26748185653751494,0.5377337243848498,0.5377337243848498,4,0,0.0,0.7699761392748281,0.7699761392748281,0.11274549995994812,0.11274549995994812
baseline,qwen3.5:4b,autonomous_depth_only,all,USB_Male,42,2,40,1.0,1.0,0,42,39,0.9285714285714286,0.15390102679289025,0.15390102679289025,0.7095583587254175,0.7095583587254175,2,0,0.0,0.8799122842736208,0.8799122842736208,0.053565018961590466,0.053565018961590466,40,39,0.975,0.1176004639188537,0.1176004639188537,0.7423580257136088,0.7423580257136088,2,0,0.0,0.8799122842736208,0.8799122842736208,0.053565018961590466,0.053565018961590466
baseline,qwen3.5:4b,autonomous_depth_only,all,DSUB_Male,42,4,38,1.0,1.0,0,42,33,0.7857142857142857,0.2560901688291383,0.2560901688291383,0.5787106757873842,0.5787106757873842,4,0,0.0,0.8031818910990696,0.8031818910990696,0.09967818179516003,0.09967818179516003,38,33,0.868421052631579,0.198501566484935,0.198501566484935,0.6291351488391972,0.6291351488391972,4,0,0.0,0.8031818910990696,0.8031818910990696,0.09967818179516003,0.09967818179516003
family_ablation,qwen3.5:4b,all_crops,original,gear,33,9,24,0.9583333333333334,0.9583333333333334,0,33,18,0.5454545454545454,0.36329169369826575,0.36329169369826575,0.5120357514141769,0.5120357514141769,9,0,0.0,0.8579709117692177,0.8579709117692177,0.07735037354283333,0.07735037354283333,24,18,0.75,0.17778698692165876,0.17778698692165876,0.6750427681159308,0.6750427681159308,3,0,0.0,0.8579709117692177,0.8579709117692177,0.07735037354283335,0.07735037354283335
