condition,model,scope,state,target_family,threshold,family_total,family_retained_lower,family_retained_upper,family_rate_lower,family_rate_upper,unrelated_total,unrelated_retained_lower,unrelated_retained_upper,unrelated_rate_lower,unrelated_rate_upper,own_total,own_retained_lower,own_retained_upper,own_rate_lower,own_rate_upper
baseline,qwen3.5:4b,all_crops,original,all,0.995,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.9999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.99999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,0.999999,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,original,all,1.0,25,0,0,0.0,0.0,96,0,0,0.0,0.0,11,0,0,0.0,0.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.0,25,25,25,1.0,1.0,96,96,96,1.0,1.0,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.01,25,25,25,1.0,1.0,96,96,96,1.0,1.0,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.02,25,25,25,1.0,1.0,96,91,91,0.9479166666666666,0.9479166666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.03,25,25,25,1.0,1.0,96,90,90,0.9375,0.9375,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.04,25,25,25,1.0,1.0,96,87,87,0.90625,0.90625,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.05,25,25,25,1.0,1.0,96,82,82,0.8541666666666666,0.8541666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.06,25,25,25,1.0,1.0,96,79,79,0.8229166666666666,0.8229166666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.07,25,25,25,1.0,1.0,96,74,74,0.7708333333333334,0.7708333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.08,25,25,25,1.0,1.0,96,65,65,0.6770833333333334,0.6770833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.09,25,25,25,1.0,1.0,96,59,59,0.6145833333333334,0.6145833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.1,25,25,25,1.0,1.0,96,56,56,0.5833333333333334,0.5833333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.11,25,25,25,1.0,1.0,96,53,53,0.5520833333333334,0.5520833333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.12,25,25,25,1.0,1.0,96,49,49,0.5104166666666666,0.5104166666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.13,25,25,25,1.0,1.0,96,45,45,0.46875,0.46875,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.14,25,25,25,1.0,1.0,96,41,41,0.4270833333333333,0.4270833333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.15,25,25,25,1.0,1.0,96,40,40,0.4166666666666667,0.4166666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.16,25,25,25,1.0,1.0,96,40,40,0.4166666666666667,0.4166666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.17,25,25,25,1.0,1.0,96,37,37,0.3854166666666667,0.3854166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.18,25,25,25,1.0,1.0,96,36,36,0.375,0.375,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.19,25,25,25,1.0,1.0,96,33,33,0.34375,0.34375,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.2,25,25,25,1.0,1.0,96,28,28,0.2916666666666667,0.2916666666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.21,25,25,25,1.0,1.0,96,26,26,0.2708333333333333,0.2708333333333333,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.22,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.23,25,25,25,1.0,1.0,96,25,25,0.2604166666666667,0.2604166666666667,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.24,25,25,25,1.0,1.0,96,23,23,0.23958333333333334,0.23958333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.25,25,25,25,1.0,1.0,96,22,22,0.22916666666666666,0.22916666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.26,25,25,25,1.0,1.0,96,22,22,0.22916666666666666,0.22916666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.27,25,25,25,1.0,1.0,96,20,20,0.20833333333333334,0.20833333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.28,25,25,25,1.0,1.0,96,17,17,0.17708333333333334,0.17708333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.29,25,25,25,1.0,1.0,96,17,17,0.17708333333333334,0.17708333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.3,25,25,25,1.0,1.0,96,14,14,0.14583333333333334,0.14583333333333334,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.31,25,25,25,1.0,1.0,96,13,13,0.13541666666666666,0.13541666666666666,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.32,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.33,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
baseline,qwen3.5:4b,all_crops,state_101,all,0.34,25,24,24,0.96,0.96,96,12,12,0.125,0.125,11,11,11,1.0,1.0
